transecto,plot,Shannon,Simpson,EqMaxima,Pielou,Jentsch,DBH,q,IndvHA,G_HA,VCC_HA
01,1,3.15,0.94,3.56,0.88,0.56,25.9062,30.6343,67,4.7172,300.3078
01,2,3.26,0.97,3.5,0.93,0.56,24.6349,28.5329,65,4.0283,256.4507
01,3,2.69,0.92,3.09,0.87,0.41,26.5836,30.0435,55,3.899,248.218
01,4,2.97,0.96,3.22,0.92,0.62,26.4905,29.7874,44,2.9269,186.3303
02,1,3.51,0.98,3.71,0.95,0.56,27.0257,31.8834,77,5.9081,376.1236
02,2,3.36,0.98,3.53,0.95,0.61,30.5982,35.6856,60,5.601,356.5688
02,3,3.17,0.96,3.4,0.93,0.51,24.5161,28.2903,63,3.8972,248.1056
02,4,3.31,0.98,3.47,0.95,0.64,28.1623,32.8808,53,4.5004,286.5046
03,1,2.65,0.93,2.94,0.9,0.49,29.4225,36.3377,42,4.1483,264.0858
03,2,3.2,0.98,3.33,0.96,0.68,21.495,26.3646,45,2.1837,139.0184
03,3,2.97,0.96,3.14,0.95,0.55,27.4356,32.6292,45,3.7628,239.5489
03,4,2.63,0.94,2.83,0.93,0.52,30.1444,37.1553,37,3.9033,248.4936
04,1,2.79,0.92,3.3,0.85,0.41,22.9636,28.144,67,4.1059,261.3884
04,2,3.2,0.97,3.37,0.95,0.62,22.0333,25.8566,48,2.5204,160.4555
04,3,3.26,0.96,3.53,0.92,0.62,26.6526,31.867,62,4.5462,289.4196
04,4,3.1,0.96,3.33,0.93,0.58,30.2388,34.5861,49,4.6035,293.0684
05,1,3.33,0.99,3.4,0.98,0.73,27.2,33.2531,45,3.4739,221.1536
05,2,3.28,0.98,3.43,0.96,0.66,20.8021,24.1116,53,2.1461,136.6219
05,3,2.92,0.97,3.04,0.96,0.7,30.5897,35.8827,32,2.9326,186.6974
05,4,3.03,0.96,3.22,0.94,0.54,26.7447,30.7682,52,3.4946,222.4706
06,1,2.97,0.95,3.3,0.9,0.54,26.138,30.0381,54,3.5433,225.5712
06,2,3.49,0.98,3.61,0.97,0.7,24.251,28.3519,55,3.2198,204.9768
06,3,3.23,0.97,3.4,0.95,0.61,32.549,39.6117,51,6.285,400.1171
06,4,3.19,0.97,3.4,0.94,0.62,24.2957,28.1658,51,2.9284,186.4288
07,1,2.58,0.9,3.04,0.85,0.54,29.6821,34.8595,42,3.7222,236.961
07,2,2.76,0.92,3.14,0.88,0.53,33.9795,40.3,46,5.6124,357.2994
07,3,2.57,0.91,2.94,0.87,0.58,27.4,34.5083,35,2.8993,184.5776
07,4,3.07,0.95,3.37,0.91,0.63,25.9143,35.7638,49,4.9224,313.3676
08,1,3.13,0.96,3.37,0.93,0.64,25.8913,29.5128,47,3.1468,200.3316
08,2,3.02,0.98,3.09,0.98,0.85,27.2783,31.2123,26,1.7598,112.0337
08,3,3.04,0.95,3.3,0.92,0.63,32.0977,36.3929,45,4.4729,284.7549
08,4,3.2,0.96,3.47,0.92,0.62,32.5679,36.9394,56,5.68,361.5983
09,1,3.2,0.97,3.4,0.94,0.61,26.316,36.832,50,5.3273,339.1489
09,2,3.08,0.95,3.37,0.91,0.52,27.5554,33.4051,58,4.908,312.4527
09,3,2.84,0.95,3.04,0.93,0.6,29.4118,33.2166,38,2.9463,187.5681
09,4,2.71,0.93,3,0.9,0.48,32.4476,37.5864,45,4.6602,296.6745
10,1,3,0.94,3.37,0.89,0.53,27.5074,33.2494,55,4.6887,298.4908
10,2,2.91,0.93,3.3,0.88,0.56,22.325,26.1371,54,2.79,177.6189
10,3,2.78,0.92,3.26,0.85,0.43,26.0066,30.5375,61,4.4677,284.4242
10,4,3.11,0.95,3.4,0.91,0.61,28.2489,34.0935,50,4.2907,273.1565
11,1,2.78,0.94,3.14,0.89,0.46,28.2358,34.4256,54,4.9332,314.0573
11,2,2.62,0.89,3.09,0.85,0.59,25.7293,31.4743,42,3.19,203.0798
11,3,3.11,0.97,3.3,0.94,0.61,28.5796,34.9773,50,4.7083,299.7366
11,4,2.98,0.94,3.3,0.9,0.54,28.3038,34.7984,53,4.9455,314.8419
12,1,2.9,0.95,3.22,0.9,0.49,27.7481,32.6901,56,4.3644,277.8471
12,2,3.14,0.96,3.37,0.93,0.63,24.8571,30.5378,49,3.5889,228.477
12,3,3.28,0.98,3.4,0.96,0.71,25.3562,33.8402,51,4.3171,274.8381
12,4,3.1,0.95,3.37,0.92,0.6,22.6612,26.2439,49,2.6506,168.7421
13,1,3,0.95,3.3,0.91,0.47,27.0836,31.5344,63,4.7642,303.2978
13,2,3.21,0.96,3.5,0.92,0.53,22.9839,26.5902,62,3.4429,219.1824
13,3,3.21,0.97,3.4,0.94,0.55,31.0491,35.1988,56,5.1573,328.3237
13,4,3,0.95,3.26,0.92,0.6,24.2812,27.2175,51,2.7927,177.79
14,1,2.97,0.95,3.26,0.91,0.58,29.5667,35.2659,51,4.6886,298.4844
14,2,2.73,0.92,3.14,0.87,0.47,26.49,29.5992,52,3.4405,219.028
14,3,2.57,0.89,3.09,0.83,0.48,29.117,34.6175,48,4.4236,281.6173
14,4,2.57,0.9,3.04,0.85,0.45,28.4362,32.7287,50,3.9541,251.7251
15,1,2.91,0.94,3.22,0.9,0.54,29.9311,33.4293,48,3.9496,251.442
15,2,2.96,0.94,3.3,0.9,0.47,28.9411,34.3274,58,5.1827,329.9441
15,3,3.18,0.96,3.43,0.93,0.62,26.6558,32.1009,55,4.2085,267.9214
15,4,3.1,0.95,3.43,0.9,0.53,28.0852,32.8281,62,5.1631,328.6931
16,1,2.93,0.95,3.22,0.91,0.51,18.3804,20.9525,55,1.7585,111.9465
16,2,3.17,0.95,3.5,0.91,0.56,29.1293,35.158,61,5.6307,358.464
16,3,3.34,0.97,3.53,0.95,0.76,28.9886,35.3323,47,4.3141,274.6415
16,4,2.98,0.95,3.26,0.91,0.52,30.9872,36.8317,56,5.6469,359.493
17,1,3.32,0.97,3.56,0.93,0.59,21.4,24.9613,62,2.9361,186.9204
17,2,3.19,0.98,3.33,0.96,0.68,25.5932,29.9353,52,3.0968,197.1471
17,3,3.32,0.99,3.4,0.98,0.79,20.0366,23.3317,41,1.7529,111.5957
17,4,2.96,0.93,3.37,0.88,0.58,24.1327,29.1682,55,3.6751,233.9661
18,1,2.94,0.94,3.33,0.88,0.54,23.886,27.3024,55,2.9273,186.355
18,2,3.08,0.94,3.5,0.88,0.52,26.4125,36.4192,64,6.667,424.4355
18,3,3.06,0.95,3.37,0.91,0.46,21.2452,25.826,66,3.2478,206.764
18,4,2.95,0.95,3.22,0.92,0.57,27.5261,31.5003,46,3.5849,228.2224
19,1,3.11,0.96,3.37,0.92,0.53,27.0375,36.3052,56,5.7972,369.0587
19,2,3.3,0.96,3.61,0.91,0.54,22.709,27.6101,69,4.0114,255.3762
19,3,3.22,0.98,3.37,0.96,0.71,23.885,29.6465,42,2.7612,175.7833
19,4,2.85,0.94,3.18,0.9,0.51,21.8522,24.5501,48,2.1775,138.6226
20,1,3.1,0.96,3.37,0.92,0.58,23.37,27.7712,52,3.0287,192.81
20,2,2.89,0.94,3.18,0.91,0.6,27.8381,36.9318,44,4.4992,286.4307
20,3,3.06,0.95,3.4,0.9,0.51,27.7246,33.6855,62,5.0798,323.3926
20,4,3.49,0.99,3.58,0.97,0.78,25.2583,31.0648,52,3.638,231.6051
21,1,2.81,0.96,3,0.94,0.61,24.6912,28.6933,36,2.1985,139.9615
21,2,2.89,0.94,3.22,0.9,0.54,25.4413,29.8391,49,3.2168,204.7861
21,3,2.58,0.91,3,0.86,0.41,22.6711,27.5536,52,2.6832,170.8205
21,4,2.71,0.95,2.89,0.94,0.49,27.8333,35.7347,44,3.9114,249.0091
22,1,3.09,0.96,3.3,0.94,0.61,27.4698,33.7083,46,3.8374,244.2936
22,2,2.93,0.94,3.26,0.9,0.58,25.2111,31.6389,47,3.5379,225.2288
22,3,3.13,0.96,3.43,0.91,0.56,22.9019,27.5273,58,3.1542,200.8046
22,4,3.28,0.97,3.5,0.94,0.63,30.7037,38.9389,57,6.4306,409.3848
