"","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"1",35.7,19.0289338420964,9.69376728885364,-0.817268968379235,2.39546591547931,0.903439098130773,65.535042926884,88.9512373043039,0.12,1.65,3.21,8.69,13.49,17.21,19.14,20.58,21.5,22.3,23,23.69,24.35,25.07,25.98,26.95,28.01,29.2,30.55,15.8754208754209,19.2817059483726,21.2962962962963,26.1728395061728,31.0549943883277,44.5286195286195,69.4837261503928,87.4186307519641,99.1694725028058
"2",40.3,21.3903246241824,8.79842376022125,-0.639829374510404,2.76092875481157,0.933431440439877,58.8227236927713,96.8873060986885,3.6,7.47,10.87,13.81,16.13,18.2,19.76,21.06,22.2,23.21,24.21,25.13,26.05,26.92,27.87,28.76,29.61,30.87,32.73,5.56126292719677,10.677350866379,16.9371960824601,24.981165673584,36.4427094034655,54.8352852544346,76.7995342784741,93.91480035614,98.205602356003
"3",51.88,21.9526169178123,10.8209333378724,0.116775225993544,2.75549607706798,0.941812776620196,51.918112505253,96.6230413639911,3.3565,6.93,9.8,12.16,14.34,16.88,18.7,20.14,21.3,22.34,23.37,24.37,25.39,26.63,28.17,30.67,33.1805,36.31,40.36,7.67868399723832,16.2549154984541,27.2025935820851,42.5509560832108,67.2049950469787,80.9263650827005,90.009906042686,96.0315792633507,98.1958994986942
"4",36.72,16.6027653076426,7.92029929556553,-0.238502269166602,2.079209390663,0.93600115515602,52.1403386800417,96.1339822217808,2.69,5.16,7.27,9.13,10.59,11.97,13.24,14.51,15.84,17.19,18.6,19.73,20.89,22.04,23.05,24.31,25.59,27.03,28.23,7.03945571474685,15.2186328309289,26.469346708713,40.65502942418,54.0585503935639,69.9649889504134,85.4095796190996,98.6318377076453,99.8758473418916
"5",47.53,24.9542325795559,11.543658478022,-0.156695691826346,2.42556707328722,0.970362545154387,49.562570346874,96.7282308400696,3.31,8.65,12.97,15.57,17.54,19.25,20.85,22.23,23.53,24.84,26.28,27.9,29.9515000000001,31.42,32.93,34.94,38.58,41.35,43.85,6.52835691079788,10.8899746744775,17.5155406615333,29.2573738200609,45.9543117341588,61.6612519505769,76.0967997748842,84.0653858944514,92.9779233071551
"6",45.32,23.6914462585034,12.1558645443818,-0.184727591043478,2.07296337448404,0.974666726913074,49.3299319727891,95.5918367346939,2.26,5.63,8.59,12.05,15.14,17.65,19.7565,21.48,22.57,23.56,24.97,26.55,28.64,31.683,34.96,36.35,38.21,40.04,41.87,8.69757474744039,15.7828497567944,22.0619748971053,31.1201061260587,45.4709343855233,61.7912173883465,70.084016463145,79.7067927480526,92.3432769822103
"7",44.57,26.2450418107261,12.3060551508084,-0.495408223103672,2.18437890007107,0.974457879371173,56.8284152126719,95.9214440781539,2.75,7.26,11.11,14.28,17.72,19.86,21.38,24.54,27.09,28.75,30.35,32.05,33.54,34.99,36.25,37.78,39.7395,41.12,42.77,7.04163065109454,12.4128088125917,18.3649265282329,25.2457434619173,36.7941785434298,44.181558686956,57.5672904898788,72.4747220937946,86.260478018775
"8",47.56,19.4926814114931,12.6047479558133,-0.0386624689508206,1.89707886867337,0.946008210311846,55.0743570658201,88.888213759475,0.72,1.8,2.79,3.93,6.05,11.01,14.68,17.57,19.52,21.22,22.66,24.11,25.44,27.11,29.07,31.56,33.7,35.66,38.22,22.6401336776546,28.4900501291205,34.2503417894577,43.5227100106334,58.8804496430199,73.6260063800699,83.9845055445845,94.7561901868449,97.5482302901413
"9",40.36,23.5288339171045,7.37960058957697,-1.19989715381027,4.6722672234937,0.869505004165106,58.3187390542907,97.4272370944875,6.78,13.563,18.01,19.64,20.6,21.48,22.36,23.24,24.1,24.95,25.78,26.41,26.95,27.47,28.07,28.9,29.93,31.23,33.01,3.58818255738799,5.87536225840752,8.63790838771553,12.2198361236787,22.5444613556283,45.7561036632404,76.2566978712758,93.2990013135125,99.1389195838459
"10",44.21,22.4293609118386,10.674122492225,0.0617529451886955,2.34025859408401,0.95710025620656,43.7638833254434,96.8282291249408,3.78,8.75,12.12,13.98,15.68,16.84,18.01,19.03,20,21.2,22.13,23.51,25.32,27.72,30.47,34.24,36.19,38.16,40.08,5.77931536780772,10.1711580480699,17.7530954115076,33.6380189366351,54.9417334304443,67.7203204661326,75.6045156591406,82.6839038601602,94.3991260014567
