"","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"1",35.74,18.7138299742385,10.0241165081514,-0.586583364773834,1.95011668330469,0.935180395432862,62.6761630550083,91.4532504924989,0.817000000000001,2.47,4.04,6.418,9.605,12.88,17.409,19.71,21.16,22.17,23.12,24.09,24.93,25.7,26.62,27.662,28.7,29.74,30.91,13.6994605079711,21.0280657089168,26.4320785597381,31.745165787719,35.6034430502516,46.3114505667697,65.5149421106868,84.4699036188398,99.1968236649088
"2",41,22.7937344432287,8.37945983668173,-0.769512415035328,3.11848482873827,0.918623048732848,58.2378025708939,97.9424667900641,5.53,9.42,13.67,16.64,18.58,19.78,21.19,22.36,23.39,24.33,25.28,26.18,27.13,28.11,29.18,29.93,30.8,31.67,33,3.58947088540282,8.08091137790686,13.1163970302497,19.6030106559221,32.5711247008774,51.4695355163316,72.7241118360502,94.470578610435,98.28707585953
"3",52.23,21.0114228229223,11.1402673028586,-0.202665422010239,2.3797511264103,0.922543198975642,57.4798210523824,92.698889862002,1.16,3.29,6.68,9.71,12.62,15.35,18.42,20.31,21.69,23.15,24.16,25.12,25.88,26.87,28.14,29.87,32.43,34.55,38.3,12.6850745032133,20.9863538991396,30.3504432319837,42.0910607979359,66.4078681074172,82.8198785698224,93.2408601896015,98.0246884357284,99.528955061366
"4",37.71,17.6353411274824,6.79809518185278,-0.365945550564602,2.72493368977258,0.905252588115736,53.4374818007105,97.9966222118688,4.94,8.31,10.55,11.88,13.02,14.32,15.43,16.4,17.34,18.31,19.18,20.12,20.9,21.67,22.46,23.45,24.64,26.19,27.87,3.71125314852292,8.71831457565919,17.5865934801916,33.4114700872123,53.1281394231469,75.9620284495436,90.5609830671345,98.838140442322,99.8980824949405
"5",47.53,24.9701427118683,10.9401302917303,-0.0536987524800461,2.67077532462189,0.952312043534464,46.4184919845976,97.626801037489,4.67,10.24,14.12,16.93,18.71,20.25,21.45,22.25,23.01,24.14,25.27,26.69,28.32,30.65,32.09,33.96,37.62,41.29,43.94,5.07895518636166,9.25638154436801,15.24372129162,25.8335428140497,48.5317306154163,65.4128293608172,78.8249274434973,85.4909847117165,92.4769761649032
"6",45.3,26.2385726303038,11.7910584777166,-0.391692679230873,2.20701171066235,0.968113720331315,51.4048251960026,97.3636394225916,4.1485,8.51,12.38,16.384,18.5,20.25,21.97,23.2,24.57,26.85,28.54,30.83,33.45,35.48,36.57,38.1960000000001,39.45,40.77,42.3614999999999,5.39403728380106,10.9108957534154,16.2224914193418,23.871054579716,37.6303923548018,51.0044417524732,61.80261121206,73.7044888619692,89.9825021872266
"7",43.47,21.8508998080614,12.3108068905034,-0.20018061184431,1.96339722902854,0.96929036001992,50.2456813819578,90.2053742802303,0.24,2.18,7.29,10.36,12.64,14.557,16.7365,18.83,20.42,21.96,24.34,26.674,28.35,30.183,32.43,34.7,36.4,38.07,39.92,12.6259621105971,17.1097333921956,25.7816848691913,36.376897829133,49.3790667767136,58.6748306109522,70.6520278700167,80.1550893491238,92.8808614368798
"8",47.09,21.1899529050024,12.0979962399167,-0.054848093074739,1.8630797477451,0.962553954212162,54.1913574841152,95.3031497212249,2.16,4.5,6.42,7.97,9.84,11.93,15.12,18.69,20.89,22.43,23.9,25.34,26.94,29.11,31.66,33.54,35.42,36.7,38.34,10.505011190036,23.9281891602608,33.3891213389121,40.3298628004281,53.7092536732509,67.8388634815608,78.3769582563005,93.2635983263598,97.3941811812786
"9",40.33,24.7434250933152,6.89491486862039,-1.22372205757702,5.50944259545802,0.8568988820578,57.0665083135392,98.1167288768239,10.75,17.62,19.7365,20.83,21.69,22.51,23.48,24.3,25.06,25.78,26.36,26.89,27.4,28.02,28.8,29.72,30.97,32.32,34.26,2.58531102203559,3.80903904477105,5.83020508578821,8.84392695807088,16.6083434073509,39.2971517040996,71.5467328370554,89.7754024304893,98.0170091832623
"10",44.46,25.6166253245906,10.983853862595,-0.292076425207275,2.32067548596195,0.95531474972967,48.901431163072,97.2372742687077,4.74,11.5,14.6,16.9,18.29,19.43,20.79,22.07,23.4,25.25,26.9,28.53,31.16,34.13,35.95,37.44,38.72,39.85,41.23,4.77139062796433,7.50806298615064,12.5865585277936,22.9629102637071,40.6611648643521,54.2105387971922,64.9509106431417,73.9470688673876,90.796338455701
