"","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"1",39.17,23.60624607927,8.75016710577841,-1.13532411074137,3.56191355939617,0.899506967115636,62.4239616006083,96.2111491303108,3.04,8.84,14.14,18.28,20.25,21.61,23.01,24.13,24.96,25.79,26.83,27.61,28.36,29.01,29.85,30.77,31.62,32.53,33.59,5.6566112609455,8.87045991897062,12.8435134910357,16.4244894079627,23.2181258688084,37.1250014851426,58.722539712714,83.1965021920705,99.104161963715
"2",36.59,21.3805321915406,7.23477502682063,-1.30555996802595,4.5167229795624,0.866145743956543,64.2185855800283,96.5056787256432,3.49,10.7,15.13,17.99,19.43,20.58,21.3,21.87,22.45,22.91,23.47,24.04,24.6,25.22,25.92,26.54,27.29,28.16,29.9,5.14538681116648,8.04949441192123,10.3294789297982,14.6039963229958,20.9081232764043,40.6744399825826,73.0042575838212,93.1866563452513,98.6791813827471
"3",42.83,21.6609201046588,11.2593209272129,-0.40856089840366,1.91109145202642,0.952149694941975,54.7821881626428,94.308247461032,1.73,4.03,6.96,9.31,12.54,15.33,17.18,18.74,21.46,24.87,27.02,28.43,29.39,30.33,31.09,31.89,33,34.27,35.68,10.4188884204261,18.4345626348553,25.4953994196573,34.8800872994221,44.9443218174152,51.5699015401404,68.2522754891992,89.9928077180626,97.7840331340989
"4",44.56,26.0649830013578,7.86424770814839,-0.980664479380529,3.54441998068322,0.86894169911191,60.6560557024574,99.2536932485273,10.56,13.31,16.68,20.47,22.42,23.81,25.05,26.19,27.04,28.04,29.09,29.82,30.38,31,31.68,32.43,33.19,33.99,35.1,1.36501000530894,3.36709274308817,10.0900477804549,16.2310613795075,24.6794217339813,43.0452893371993,71.3572507861314,96.2092130518234,99.1873238861437
"5",43.61,20.2728215392877,7.40797287821772,-0.418427583061767,3.39848711369201,0.878400571935321,55.0748163155711,97.6200356384407,6.47,10.34,12.94,14.58,15.74,16.69,17.81,18.9,20.29,21.21,22.14,23.08,23.94,24.79,25.61,26.42,27.48,28.62,30.13,3.47845190582549,7.66601979666313,15.3918445559176,33.490779051176,53.0787350640157,78.3933213723408,96.3348101497565,98.7526393516654,99.1175716744169
"6",33.21,20.6068432538834,8.27589482133036,-0.84746852874635,2.58840910885511,0.924207453464386,63.9565235996405,97.4852725120173,4.14,7.12,9.52,12.11,14.91,17.54,20.21,21.81,22.737,23.39,23.98,24.64,25.43,26.22,27.04,27.76,28.44,29.19,30.13,3.81850340912333,9.14615011553933,15.9059139018058,22.0494679485351,28.3285310815052,34.4264399623427,48.8046672182124,72.1008187601632,93.7109519869911
"7",42.9,17.541232717593,10.6726796092222,0.240104254180041,2.07406147214206,0.943948602000122,43.7041219649915,93.4855206904896,1.18,3.59,5.45,7.29,9.58,11.16,12.27,13.11,13.99,15.29,16.99,19.87,23.55,25.99,26.92,27.61,29.1,32.24,34.45,11.4642488384099,22.7978187919463,38.9100413009809,55.3707408363449,62.2418688693856,69.1436499741869,86.6707537429014,94.8002710376872,97.0766649457925
"8",36.4,15.7825865224626,8.68240039975581,0.235507686768683,2.24848536996117,0.963861066027196,45.7695507487521,95.1767886855241,2.1095,4.41,6.25,7.75,9.5,10.8,11.95,12.89,13.81,14.82,15.92,17.1640000000001,18.59,20.12,21.98,24.32,26.3015,28.88,31.23,8.40283699744171,18.3344079535764,30.4186859127686,48.8882880259573,63.3187046319599,74.683333679985,83.3212005241374,90.6112855924624,98.3714303542087
"9",43.03,20.706935442746,9.90946143105868,0.372812416892072,2.2705503167204,0.940295905654704,43.6432291982856,98.8853947863673,6.65,9.21,10.64,11.74,13.05,14.64,16.06,17.04,18.05,19.11,20.36,21.56,22.63,24.08,27.57,31.37,34.75,36.19,38.29,2.73555123846527,8.59640602234094,24.4803302574065,40.817144244779,59.7268091306459,72.8861097620204,78.7493929091792,84.3467702768334,95.726080621661
"10",37.26,18.1999592744243,12.6038577205534,-0.0394952773598529,1.45815862172068,0.948712327714383,50.324703914058,86.6970457447277,0.53,1.41,2.35,3.74,5.21,7.16,9.94,13.09,16.11,18.41,20.9,23.01,27.75,29.947,31.55,32.43,33.21,34.05,35.02,19.946946098557,30.8725275451013,36.9748269143983,42.9901707190895,50.2933374426258,58.8612123146691,62.9448217410926,69.6492058425334,87.0094990699057
"11",34.12,15.3925470034456,6.34888733622749,-0.0430213598824357,2.84172622604467,0.902229438823331,48.1971838628286,97.4592365500963,4.24,7.21,9.03,10.37,11.5,12.34,13.14,13.81,14.49,15.185,15.78,16.49,17.35,18.6,20.07,21.45,22.79,23.72,25.17,3.9719467694019,9.31535466717311,19.5233121261039,38.7196983056825,63.4019289987384,76.584776917129,90.7199153519541,98.2324294260483,98.9934479156775
"12",33.45,13.5306835498681,8.71486317774339,-0.0792452655464677,1.86853542257685,0.937176900479598,53.2993064374328,83.9906710950474,0.09,0.56,1.75,3.32,5.75,7.83,9.89,11.5,13.06,14.39,15.7,17.19,18.42,19.38,20.36,21.51,22.88,24.97,26.99,20.0647170156908,27.3337810611148,35.4991147200684,46.1823066121253,58.4113804261554,73.5966786739117,86.6768422980646,94.3195555284205,99.4016728738018
"13",38.18,18.7153994856788,11.685466407213,-0.110817794682169,1.51834413358835,0.962175865333774,52.0636187435868,91.7993640659243,0.71,2.67700000000001,4.68,6.34,7.61,8.93,10.82,12.84,16.36,20.17,22.97,25.18,27.62,28.86,29.8,30.9,31.85,32.95,34.62,12.726996332588,25.106253602488,36.4885322117851,43.55352584607,48.4883801947085,54.8718306023043,62.8064885955522,78.5028851574327,94.4013377502739
"14",42.91,25.9219083852294,9.60338001187356,-0.652086998175171,2.5250014452573,0.942369137068026,58.0658129403853,98.9584246995878,8.11,10.71,13.6465,16.75,19.38,21.96,23.86,25.35,26.87,28.19,29.27,30.34,31.42,32.5,33.45,34.58,35.62,36.78,38.02,1.88435140449233,5.67059666254906,13.6472944426983,20.7768381197418,29.0064395406802,41.3234315954127,58.4675208864784,78.8679272865486,96.2948885689016
"15",41.77,29.5962734122713,5.0275418814294,-2.8214590827309,15.4290106720221,0.701426765628454,59.3972012917115,99.3326157158235,21.949,25.84,27.07,28.04,28.59,28.88,29.18,29.55,29.93,30.44,30.86,31.144,31.41,31.67,31.9075,32.26,32.69,33.511,35.2355,0.979653353428787,1.61481321993756,2.09925718591883,3.02508343201636,4.22004521477016,8.75228765206158,35.6658413176876,89.6759608138659,98.3205942512649
"16",38.12,20.504606543263,8.65814549057755,-0.179278288078625,2.28344993808382,0.953403249758873,48.6052518295308,97.8734395178648,5.69,9.45,11.44,12.84,14.06,15.27,16.66,17.74,18.86,20.11,21.7,23.64,25.41,26.59,27.75,28.92,30.31,31.63,33.47,3.20712886631223,7.50984739232442,14.9787985105146,29.9253104888181,45.6510041111518,57.9823069803483,70.3717256075249,85.7530295529392,96.162207537829
"17",42.65,20.0342807064523,11.0600694507602,0.118940759377964,1.87193600334765,0.9762803842412,46.1287534841827,96.5115571405967,3.148,5.71,8.03,9.59,10.9,12.35,13.87,15.55,16.98,18.64,20.71,23,25.51,27.94,29.84,31.4,34.04,35.85,37.8,7.20458639661133,16.6220361263937,31.627635230537,45.3478747748186,56.3330736647354,65.1467939042797,75.0559910414334,85.1343784994401,96.1719168411315
"18",46.67,23.3529603191479,9.17376322423302,-0.585312247008383,3.44766938109672,0.895887142764241,60.8233852758624,96.6009537984873,3.6,9.42,13.4,16.82,19.35,21.01,22.41,23.51,24.41,25.08,25.79,26.62,27.28,27.87,28.56,29.19,30.38,32.26,38.05,5.91225281234495,9.90269438341046,15.7501442877249,23.6439485221899,39.08627899677,71.0584137463169,90.3980316116686,94.219378094592,98.5581352963214
"19",34.91,19.1221654615773,6.82853016712108,-0.589519138785795,3.26865184151874,0.916168670690311,58.0214113558657,97.7355529398576,6.05,9.84,11.92,13.778,15.25,16.44,17.77,18.76,19.54,20.17,20.74,21.31,22.03,22.7,23.41,24.37,25.57,27.29,29.45,3.40455584951347,6.01430429128739,11.3503878749832,20.6649926012286,33.7866014976907,56.7306398816197,80.3394466615847,91.4039729160127,98.2254159006323
"20",43.65,23.7496820232445,11.0313104796052,-0.0881055778468689,1.95595604512929,0.966835500524768,48.1761618058933,97.7443104633807,5.71,9.75,12.03,13.65,15.17,16.3,17.5,19.1,21.04,22.95,25.52,28.22,30.1,31.46,33.88,35.6,37.25,38.6340000000001,39.9,3.65947740918391,8.27994499044041,17.931774729145,34.8203803709791,47.1790829503908,56.3697044913293,66.7913326401234,78.1186059772582,92.7196189581726
"21",42.16,21.3977833894501,11.357534886497,-0.410045149457923,2.01207888683023,0.951443594252056,61.2867021469172,94.4625466130843,1.73,3.99,5.83150000000001,7.48,9.84,15.97,19.77,21.77,22.98,24.02,25.25,26.75,27.85,28.98,29.99,31,32.2,34.48,37.67,10.5972013540667,21.9565178038051,27.3764052062779,31.1688781883022,37.9048170742745,55.1275320866748,72.755743016962,88.8615340055394,95.2372332144603
"22",34.69,18.8932106752169,6.74204529635381,-0.70393385773726,3.29951736978134,0.906683584272758,58.0922293474161,97.4839683138438,5.25,9.62,11.8,13.47,14.93,16.46,17.65,18.57,19.38,20.15,20.87,21.46,22.1,22.72,23.39,24.3,25.28,26.15,28.57,3.51097237808731,6.74940352134592,11.6051641377229,21.4053320004904,33.3782853478437,54.5459689359575,79.9564311243976,94.0484161487755,98.487348994238
"23",39.98,20.3725311606048,12.3725498924956,-0.331448940441576,1.76474204402874,0.962509893074864,56.8451164691459,86.7886697997548,0.23,1.1,2.78,5.49,8.26,12.78,16.13,18.64,21.43,23.31,24.95,26.71,28.24,29.59,30.37,31.79,33.48,35.6,37.46,17.1832496839202,24.5763253004355,29.2990051466738,34.7687828052565,42.4377099217144,51.9201052322389,64.2031595213466,80.6380343026449,90.8879608699539
"24",42.44,23.525578880826,9.54529152938833,-0.686648241579913,3.14035139084872,0.926043651971974,54.7431220450145,95.3773820969038,2.6,9.13,14.24,17.04,18.79,20.19,21.49,22.63,23.48,24.24,25.29,27.2,28.56,29.72,30.71,31.56,32.45,33.68,36.75,6.25707888844989,9.47846700908732,12.8420913999737,19.8327406822073,33.7692611615962,55.5985776372975,69.9117608323456,90.6953773212169,95.7210588700119
"25",40.25,21.4151174784033,10.1798365179439,-0.522275213208123,2.49885982208191,0.956883438001731,57.0468424188263,93.1430592791183,1,4.56,9.05,12.56,15.38,17.83,19.55,20.85,21.79,22.79,24.01,25.19,26.35,27.51,29.03,30.54,31.65,33.44,36.1945,9.41334177356594,13.9915473552904,19.3870901677496,26.2516058163132,36.9868369607715,55.5044590493567,72.2905922436745,87.0398987172088,95.0363985030999
"26",44.65,24.9067067354352,11.687064930829,-0.648044300935774,2.48752127759043,0.940646542738897,53.3039403266506,93.7539860799157,1.4,4.16,8.97,16.68,19.16,20.93,22.37,23.61,24.52,25.79,27.65,30.1,32.04,33.56,34.56,35.77,37.14,38.4,40.12,10.4596187175043,14.9670710571924,17.1119584055459,22.3362218370884,34.8824956672444,52.8415944540728,63.0086655112652,79.8086655112652,95.2887348353553
"27",39,22.4467784801961,8.56699948471814,-0.643580967529156,2.97047378553027,0.934679819902825,59.5794091085021,97.8725325764418,5.04,9.5,12.59,15.9,17.62,18.98,20.52,22.3,23.44,24.3,25.32,26.11,26.8,27.35,28.05,28.87,29.98,31.98,34.98,3.86019688036228,7.77845153466049,13.8190403695055,19.4493542685366,31.7834057980364,44.7199680037157,69.4629010824549,88.320066056845,95.0496071423964
"28",40.89,18.7789096020416,10.6174248225101,-0.36799429090374,1.92589098248301,0.946788139572671,58.5872079113167,90.0699816572294,0.54,2.03,3.76,6.27,9.45,13.1,16.04,18.23,19.83,20.95,21.94,23.5,24.86,26.03,27.51,28.79,30.11,31.49,33.24,15.87562680065,23.5268315538675,28.6917685996551,35.8116258436263,47.5421439323703,63.6998933317383,79.352214612555,93.7713710360778,99.5434199639122
"29",43.43,25.6419474914926,9.54461419067525,-0.453037981569925,3.20237304024757,0.929602865481103,52.9533659055911,97.700614056767,6.86,12.76,16.63,18.71,20.68,22.67,23.81,24.74,25.39,25.99,26.62,27.39,28.42,29.77,31.83,33.4,35.5,38.98,41.53,3.83646543283809,6.33834279141833,10.2489520061596,16.9675193201586,27.3657094514311,50.5156795087499,71.6400034220207,83.2748738129866,90.1921084400338
"30",39.32,20.9941315648605,12.0326129780197,-0.360152750428831,1.77844926329671,0.964533508498182,53.5216796526497,89.9030512103729,0.67,1.97,4.37,7.2,10.19,14.35,16.21,18.76,20.39,23.2,25.58,27.48,29.2,30.5,31.78,33.03,34.33,35.34,36.32,14.168966501713,21.2873524933384,26.8937952036544,33.8147125999239,42.766225732775,51.0337362009897,60.0923106204796,73.4143033878949,90.2728873239437
"31",63.86,30.7805161559248,18.1986777433669,0.0991193162377515,1.59869911515332,0.97129668284013,46.009889035819,97.5722992008279,4.41,8.13,10.93,12.88,14.69,16.66,18.63,20.94,24.13,27.94,32.0005,38.69,43.26,45.94,47.76,51.08,53.48,55.77,57.64,7.8912190424171,19.6906757125814,36.3944747092898,46.8672291615759,54.9568067154418,59.8611490419859,67.6416897845367,80.00891175921,94.6213221026002
"32",39.07,22.4582231134229,8.42034308491872,-0.906364987913405,3.10157036947864,0.904484311377218,61.1328396434315,97.3674283785662,4.424,8.83,13.08,15.646,17.41,19.51,21.41,22.8,24.12,25.02,25.89,26.6,27.21,27.89,28.54,29.39,30.18,30.89,31.936,4.41947268106734,8.78335451080051,13.224666454892,19.9392471410419,30.0607528589581,42.1974269377382,65.9406766200762,91.9532242693774,98.3441867852605
"33",36.53,15.2754506412049,8.97371771118345,-0.112577089330363,1.95393646180065,0.945260420534937,50.8649274899125,88.5561903239982,0.38,1.62,3.51,6.14,8.62,10.14,11.35,12.85,14.16,15.58,16.91,18.57,20.25,21.67,22.89,24.06,25.4,26.67,28.68,15.3492738858593,22.1050318611294,33.5330896306506,46.7729370168395,59.153832324564,71.0013783184515,85.6914564231637,96.3824134555842,99.340804218853
"34",40.6,21.9834739265469,9.07380871071247,-0.546469118890414,2.68160473409802,0.943796858147806,57.602675759616,97.0180049084551,3.88,8.21,12.04,14.13,15.79,17.86,19.63,21.25,22.84,23.89,24.8,25.66,26.36,27.18,28.4,29.92,31.26,32.57,34.37,5.1648494852526,9.81712349593849,15.2143694887277,25.8959211155032,37.0487815472829,52.6801615915903,75.0749315842057,89.6963641892185,97.8628209026541
"35",43.04,19.1585558261461,9.33889939101809,-0.344058817377827,2.27274176754143,0.929170640675259,58.0221837014665,95.2665553582253,2.14,4.68,7.4,9.81,11.87,14.28,16.43,18.54,19.91,21,21.99,22.94,23.84,24.8,25.9,27.22,29.21,30.58,32.11,9.33724689467415,17.5333928875277,26.8578781691339,36.7470648289944,52.7618257614429,74.6596903181895,88.3092989620555,98.070869491237,99.4427428960354
"36",37.37,17.712790999259,9.4864228502186,0.0767706628377926,2.08760063284143,0.964156704076946,48.6191073362595,95.6934389785099,2.28,4.6,6.81,8.69,10.45,12.39,13.86,14.96,16.29,17.42,18.65,19.89,20.74,21.82,24.76,28.42,29.7835000000001,31.4590000000001,33.44,8.11588832993687,16.7220076669849,27.2063958045346,39.9410012683302,55.1281868578188,71.9969788089097,76.2380470564763,85.3386726710464,95.7803081044876
"37",33.21,17.4441893158388,9.51452325449777,-0.374024546613206,1.7501329248014,0.959516283178664,55.1025721128814,93.2573154222639,1.53,2.92,4.58,6.53,8.49,11.33,13.6505,15.65,17.48,19.71,21.35,22.97,24.3,25.11,26,26.73,27.45,28.31,29.33,11.2661572706091,20.3116254246775,28.3105320021348,34.0080444658501,42.3505981281647,50.5864129232131,60.779974747146,78.8865313773219,96.7340510003515
"38",38.37,24.3603463497453,10.1027492632688,-0.870011272187662,2.69244862633569,0.924664771873435,59.6885762794082,95.6352170749454,2.58,8.79,11.96,15.07,17.7,20.22,22.32,24.25,25.88,27.47,29.36,30.51,31.43,32.1,32.6,33.16,33.8090000000001,34.44,35.38,5.86762908201874,8.55307837087917,14.4110056852358,20.7482003220987,27.6044395288822,36.8327609290413,47.917030482954,60.9300114480858,90.6863030444147
"39",42.34,21.3152647992365,9.04077397777522,-0.0609991599203717,2.56487208983895,0.937327831064606,49.2641999422902,98.12887044148,5.36,8.78,12.07,14.13,15.68,17.03,18.31,19.27,20.19,21.16,22.16,23.08,24.02,25.13,26.9,29.29,33.0025000000001,34.67,36.03,3.57138893513124,9.48670994950336,16.2576993507574,29.6287664391543,50.0449475611786,71.0471117030132,80.588202652461,87.3458742578103,98.3186282670218
"40",42.42,16.8537927376661,7.63405826176908,-0.200107423149079,3.22494605995172,0.880724308171879,56.8620903028101,95.5978116743441,2.4,5.32,7.62,9.83,12.14,14.09,15.35,16.33,17.18,18.06,18.95,19.85,20.59,21.4,22.07,22.69,23.49,24.8,26.63,8.01575452795348,17.0107649392999,26.2611479982713,43.7345303107689,68.6107727969198,92.6875024555062,97.2822457077751,98.5964326405532,98.9028798177032
