plot,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9
1,36.13,24.3407554492291,7.97771874198834,-1.3137021474012,4.22332876986501,0.886975702194788,62.7963849016481,97.4304447988658,5.93,11.7,16.81,19.61,21.17,22.66,23.88,24.94,25.99,27,27.56,27.99,28.35,28.8,29.6675000000001,30.62,31.48,32.27,33.22,3.90756525899803,5.91362597246097,9.07334881000904,12.3890198302291,17.0267061262826,26.8886565418491,41.7267716954048,70.7632600258732,91.2598132166085
2,36.44,20.8956402935516,7.17884771633206,-1.17560205131421,4.17761502715588,0.872511742982407,63.4266015269759,96.5505572827443,3.94,9.7,13.63,17.47,18.76,19.81,20.68,21.33,21.95,22.52,23.06,23.57,24.09,24.73,25.49,26.17,26.84,27.72,29.48,4.73330231377691,7.63081087940443,11.4483312888626,15.9024575948564,22.6132566304302,44.2493972336196,75.0771963960915,94.4439744511653,98.2720697094032
3,43.64,21.8443402862221,10.1592972391512,-0.392486094890429,2.06740633261974,0.936263707508614,53.572163502011,96.5054718922458,3.58,7.23,9.45,11.6,13.79,15.99,17.75,18.94,21.17,23.45,26.12,27.68,28.64,29.52,30.37,31.42,32.4,33.64,34.7,5.89665880944363,13.226325438695,23.4388446140607,33.8608897369701,46.355745126651,55.161447225652,75.8614883825345,95.9497886032851,99.0459086317207
4,42.88,24.7278696996826,8.08815554310619,-0.779221160174628,3.04235598056846,0.894228598695585,58.2973874827053,98.8280296248067,9.89,12.76,14.54,17.03,19.96,21.93,23.34,24.362,25.44,26.51,27.58,28.59,29.39,30,30.68,31.59,32.58,33.55,34.82,1.61966385870671,3.72766857933504,10.2917836649982,20.1155740039881,28.5638709152322,46.2743661742563,70.1176087575795,93.0248646888862,99.3570178651365
5,43.21,21.5512034571903,7.46806855472781,-0.715619905334992,4.24963295381577,0.857926155691688,58.5715939344832,97.1100050160127,5.598,11.276,14.85,16.67,18.27,19.518,20.47,21.33,22.14,22.88,23.56,24.28,25.07,25.67,26.26,26.83,27.53,28.59,30.612,4.06698564593301,7.79441271801204,12.0196017903998,21.8166383701188,41.6769563204198,72.1639141842877,94.2583732057416,97.8430313319957,98.444976076555
6,32.48,20.6267387557319,7.94812664003715,-0.987377423637706,3.12544875947649,0.919420222537572,63.9435428794432,95.9803570847832,3.58,7.548,11.24,13.97,16.36,18.15,20.17,21.71,22.55,23.04,23.56,24.08,24.78,25.5,26.42,27.19,28.13,29.192,30.03,4.7222583582672,8.62169897229088,12.706517497073,17.997918563809,24.6585143749187,33.5111226746455,46.7997918563809,72.8242487316248,90.2335111226746
7,42.72,19.9754003354767,10.077234916162,-0.144935393598025,2.21780916343883,0.943733718124089,52.1945764607213,95.6136427173609,2.46,5.27,7.98,10.44,12.5,14.3,15.58,16.88,18.77,20.83,22.66,25,26.11,26.72,27.27,28.51,30.55,32.19,33.71,7.78327602113562,15.9579524168973,25.9861891582096,40.5183259246834,51.6928066202578,62.2829824708547,82.8510721574548,95.6750258603819,96.9219156252621
8,38.91,16.2497174367751,8.51350750783555,0.300394780369729,2.48814699326434,0.940074544244757,42.8142232363567,96.0106484122457,2.78,5.634,7.25,8.84,10.49,11.7,12.879,13.85,14.56,15.19,15.87,16.964,18.35,19.73,21.71,24.31,26.77,29.406,31.45,7.09287289876017,16.756674526508,29.8889480489846,52.7877082224082,68.9510915037651,77.8200349889709,85.72678177531,94.0746938465049,98.7373545295505
9,37.29,18.1707195869635,6.77839390268509,-0.177270877058318,3.31601559788453,0.899135597335339,52.6191244487469,98.0585134989782,6.01,9.553,11.32,12.77,14.09,15.11,16.07,16.93,17.79,18.62,19.54,20.35,21.07,21.71,22.29,23.05,24.21,25.57,29.2835,3.13021029419674,6.5454741031571,14.5215941483354,29.0647017694831,50.1102565481633,75.6521271446243,91.0503953100629,95.3369547679234,98.2574087021998
10,36.83,15.6259344838607,12.2022907036179,0.391020442584521,1.66013801846721,0.942456542870256,41.8983700862895,87.4592521572387,0.61,1.53,2.47,3.51,4.45,5.52,6.82,8.52,11.43,12.99,14.65,16.51,19.47,23.04,29.34,31.71,33.18,33.96,34.72,20.8859343539263,36.5975262871936,44.0666048771134,55.2526446994151,63.520726133785,68.7142446227109,71.8942759436224,75.1765796286235,84.8061619099364
